"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"S100a4",0,2.22693212142769,0.97,0.228,0,"0","S100a4"
"Gm11428",0,2.10303191551927,0.952,0.14,0,"0","Gm11428"
"Ccl9",0,1.91357116426979,0.95,0.244,0,"0","Ccl9"
"Ctss",0,1.9056855873759,0.998,0.385,0,"0","Ctss"
"Ccr2",0,1.73656637475761,0.973,0.189,0,"0","Ccr2"
"Fn1",0,1.69206434355234,0.832,0.114,0,"0","Fn1"
"Ms4a6c",0,1.68315766125986,0.987,0.234,0,"0","Ms4a6c"
"Ms4a4c",0,1.52843262178198,0.869,0.155,0,"0","Ms4a4c"
"Clec4a3",0,1.32891352592385,0.779,0.052,0,"0","Clec4a3"
"Slfn5",0,1.18413263238506,0.686,0.057,0,"0","Slfn5"
"Clec4a1",0,1.11070151294855,0.724,0.049,0,"0","Clec4a1"
"Tgfbi",7.4382201409404e-306,1.48053807753141,0.935,0.217,1.7361549630969e-301,"0","Tgfbi"
"Cx3cr1",1.32446514167325e-305,1.12744971081685,0.716,0.084,3.09143408717954e-301,"0","Cx3cr1"
"LOC100038947",8.05363846106362e-305,1.01142157472447,0.516,0.018,1.87979975319686e-300,"0","LOC100038947"
"AI607873",5.58490478959844e-288,1.06855590113682,0.691,0.077,1.30357262694017e-283,"0","AI607873"
"Ahnak",1.45924795082327e-282,1.4073888928697,0.971,0.274,3.4060306420166e-278,"0","Ahnak"
"Ccl6",3.27164741799944e-280,1.67984363716526,0.985,0.361,7.6363522383525e-276,"0","Ccl6"
"F13a1",2.65892158601959e-276,1.4996376155293,0.899,0.19,6.20618887392833e-272,"0","F13a1"
"Clec7a",5.83116557521565e-268,1.13505754691823,0.775,0.143,1.36105235691108e-263,"0","Clec7a"
"Ifitm3",8.76432800980307e-268,1.97427042971488,0.996,0.717,2.04568180076813e-263,"0","Ifitm3"
"Ccdc109b",1.78193955310938e-260,0.89252887591923,0.707,0.102,4.1592251109126e-256,"0","Ccdc109b"
"Ms4a6b",1.17409839401689e-256,1.19320299700565,0.85,0.19,2.74046306147482e-252,"0","Ms4a6b"
"Cd302",2.1991428443765e-256,0.878553578049612,0.661,0.088,5.13301931305918e-252,"0","Cd302"
"Ifi204",7.56252790312846e-250,1.12346725016716,0.653,0.087,1.76516963786921e-245,"0","Ifi204"
"Csf1r",1.83828405667036e-249,1.05723994861163,0.745,0.14,4.29073881667429e-245,"0","Csf1r"
"Pid1",7.35861722367748e-247,0.700243442454305,0.56,0.052,1.71757484617856e-242,"0","Pid1"
"Npc2",1.03246660444635e-245,1.38944672052253,1,0.729,2.40988030143823e-241,"0","Npc2"
"Klra2",2.84565616298002e-241,0.850497165481118,0.587,0.062,6.64204605001166e-237,"0","Klra2"
"Lrp1",1.34295132936176e-235,0.675026530949527,0.507,0.041,3.13458269786327e-231,"0","Lrp1"
"Mpeg1",2.15550590682325e-235,1.09464567880054,0.97,0.301,5.03116633711614e-231,"0","Mpeg1"
"Ctsc",2.08683744783831e-234,1.28357374675467,0.907,0.302,4.8708872869994e-230,"0","Ctsc"
"Atf3",2.4704853350435e-232,0.815314122975166,0.566,0.061,5.76635982052503e-228,"0","Atf3"
